user_id, num_tweets, retweet_ratio, hashtag_ratio, quote_ratio, tweet_favorite_ratio, tweet_retweet_ratio, mention_ratio, friend_follower_ratio, url_ratio, listed_count, verified, geo_enabled, protected, profile_uses_background_image, favourites_count, tweet_frequency_variance, class
13253,11989,0.18,0.01,0.11,0.87,493.18,1.48,1.866086956521739,0.37,98,False,False,False,False,876,675633609.814433,False
2358245474,10277,0.10526315789473684,0.010526315789473684,0.010526315789473684,0.42105263157894735,40.63157894736842,1.0736842105263158,1.5881656804733728,0.42105263157894735,9,False,True,False,False,781,15151775519.635576,False
428238559,73059,0.59,0.29,0.07,0.67,3087.99,1.19,1.1314553990610328,0.19,46,False,True,False,False,40542,3128711.2779297284,False
2332555379,3071,0.2653061224489796,0.1836734693877551,0.08163265306122448,1.0408163265306123,3508.683673469388,0.7551020408163265,0.7433628318584071,0.10204081632653061,0,False,False,False,True,4115,94729446806.08948,False
1320158370,9749,0.14,0.12,0.11,3.31,12.43,0.4,0.6591359492667459,0.39,18,False,False,False,True,29,30298011.38270566,False
72648886,19026,0.57,0.28,0.12,1.21,14.16,1.05,0.0709568638471266,0.49,167,False,True,False,True,7270,193970176.6029876,False
2641735739,1081,0.3333333333333333,0.020202020202020204,0.04040404040404041,7.757575757575758,10170.969696969696,0.6767676767676768,0.8330019880715706,0.09090909090909091,0,False,True,False,True,18129,18480457360.25752,False
116663132,69665,0.35,0.01,0.38,0.1,889.45,0.42,0.5878962536023055,0.37,6,False,False,False,True,110,631087.8699768567,False
125218383,424,0.13,1.34,0.0,0.17,333.1,0.35,2.1923076923076925,0.12,2,False,False,False,True,52,4953925569589.27,False
2707450740,534,0.7586206896551724,0.3620689655172414,0.0,0.3793103448275862,1023.8448275862069,0.8620689655172413,4.185185185185185,0.20689655172413793,0,False,True,False,True,587,5501861497.433441,False
233753182,11238,0.72,0.0,0.19,0.3,13594.8,0.99,0.7338709677419355,0.26,1,False,True,False,False,16835,4989272.207553124,False
3329528505,5261,0.01,0.04,0.0,0.05,0.14,0.01,0.33116883116883117,1.0,0,False,False,False,False,1,3411200.25257732,False
325993661,14561,0.82,0.0,0.08,0.14,12919.1,0.83,0.9140316205533597,0.07,5,False,True,False,True,27756,155750879.07174417,False
998131124,17391,0.041237113402061855,0.020618556701030927,0.061855670103092786,0.5463917525773195,25.195876288659793,0.35051546391752575,1.505952380952381,0.10309278350515463,0,False,True,False,True,5979,1455448736.5079508,False
2190346595,5773,0.26262626262626265,0.0707070707070707,0.0,4.98989898989899,204.26262626262627,0.6060606060606061,0.6501597444089456,0.0707070707070707,9,False,False,False,True,38082,39619153761.95791,False
470005979,17069,0.8068181818181818,0.011363636363636364,0.10227272727272728,1.0340909090909092,42765.97727272727,0.8636363636363636,0.594272076372315,0.14772727272727273,2,False,True,False,True,26002,35137019596.92859,False
301747825,1391,0.24468085106382978,0.5425531914893617,0.14893617021276595,0.5106382978723404,3902.904255319149,0.5531914893617021,4.7,0.7340425531914894,10,False,False,False,True,1062,127358318811.63437,False
2615535057,3690,0.0,0.0,0.0,0.0,0.0,0.0,1.0169491525423728,1.0,1,False,True,False,True,2371,1031.2598358931202,False
381768688,12815,0.69,0.07,0.12,0.32,6138.45,1.23,0.7657754010695187,0.13,2,False,False,False,True,27209,2036729.1306543236,False
4451757672,543,0.5131578947368421,1.2763157894736843,0.039473684210526314,0.34210526315789475,577.6447368421053,0.5526315789473685,0.0,0.06578947368421052,0,False,False,False,True,56,7651507047.787485,False
478622315,11896,0.01,0.01,0.01,0.44,2.15,0.03,0.4286308780690803,0.98,104,False,True,False,True,80,127140251.69587629,False
211646733,4924,0.24,0.89,0.27,1.44,0.9,1.68,2.169844020797227,0.57,28,False,True,False,True,947,8139545497.030928,False
526581925,9269,0.08,0.01,0.1,0.39,1529.58,0.52,1.1747967479674797,0.45,1,False,False,False,True,2538,2122184262.9821167,False
2200132293,41040,0.76,0.0,0.28,0.85,19970.81,0.94,1.0598179453836152,0.21,14,False,True,False,True,87570,12086200.42373238,False
2943664510,2593,0.03,0.04,0.0,0.08,1685.09,0.66,1.3448275862068966,0.76,0,False,True,False,False,276,160622346586.2613,False
58614620,11496,0.8876404494382022,0.0898876404494382,0.056179775280898875,0.0449438202247191,7425.5842696629215,1.0,2.487437185929648,0.11235955056179775,20,False,False,False,True,26072,17610949141.965786,False
269102797,13596,0.3368421052631579,0.10526315789473684,0.021052631578947368,0.4,2179.378947368421,0.5263157894736842,0.4583333333333333,0.10526315789473684,2,False,False,False,True,1,88319557195.07387,False
32348838,2718,0.3333333333333333,0.29292929292929293,0.09090909090909091,1.0606060606060606,7006.787878787879,1.202020202020202,1.6774193548387097,0.3333333333333333,23,False,True,False,True,1959,100846386018.24829,False
35720864,35592,0.5,0.21,0.05,0.5,17318.98,1.06,4.579059829059829,0.17,16,False,True,False,True,6760,292408575.08868086,False
184022143,9123,0.69,0.07,0.21,1.63,2478.3,1.29,0.724040404040404,0.35,22,False,True,False,False,10158,39307538.80885757,False
1536327066,3707,0.31313131313131315,0.020202020202020204,0.09090909090909091,0.6868686868686869,3066.5656565656564,0.8787878787878788,1.3982456140350876,0.30303030303030304,170,False,True,False,False,1203,181343507.83140033,False
388589094,47595,1.0,0.0,0.37,0.0,25341.41,1.03,0.8628158844765343,0.29,9,False,True,False,True,3783,1461284.0602777193,False
1691697900,25667,0.9897959183673469,0.030612244897959183,0.35714285714285715,0.0,30435.744897959183,1.030612244897959,0.6887417218543046,0.21428571428571427,2,False,True,False,True,280,117958228.4183114,False
1372316628,2690,0.3333333333333333,0.041666666666666664,0.052083333333333336,1.1770833333333333,17231.59375,0.4583333333333333,1.2095588235294117,0.22916666666666666,0,False,True,False,True,7315,50726381983.23633,False
3265353439,3686,0.32989690721649484,0.0,0.2268041237113402,1.8041237113402062,3339.5257731958764,0.711340206185567,0.8984375,0.28865979381443296,1,False,True,False,True,25115,115333857.03919373,False
2532135561,2258,0.9662921348314607,0.11235955056179775,0.23595505617977527,0.0449438202247191,47881.95505617977,1.0337078651685394,0.9813084112149533,0.24719101123595505,2,False,False,False,False,8565,5448083365.132585,False
3237515738,3950,0.9896907216494846,0.0,0.4020618556701031,0.010309278350515464,28381.855670103094,0.9896907216494846,1.2413793103448276,0.31958762886597936,0,False,True,False,True,8215,1028204842.1030236,False
73506786,24672,0.31,0.48,0.12,0.37,2181.69,0.46,0.2769661797078247,0.46,41,False,True,False,True,4820,50222102051.60657,False
